model,dim_reduction_algorithm,n_dimensions,count_evidence,include_absent_evidence,n_most_frequent,mean_train_score,mean_test_score
DummyClassifier(),,,False,False,,0.1608583421247559,0.16086486486486487
DummyClassifier(),,,False,True,,0.1608583421247559,0.16086486486486487
DummyClassifier(),,,True,False,,0.1608583421247559,0.16086486486486487
DummyClassifier(),,,True,True,,0.1608583421247559,0.16086486486486487
DummyClassifier(),PCA,10,False,False,,0.1608583421247559,0.16086486486486487
DummyClassifier(),PCA,10,False,True,,0.1608583421247559,0.16086486486486487
DummyClassifier(),PCA,10,True,False,,0.1608583421247559,0.16086486486486487
DummyClassifier(),PCA,10,True,True,,0.1608583421247559,0.16086486486486487
DummyClassifier(),PCA,50,False,False,,0.1608583421247559,0.16086486486486487
DummyClassifier(),PCA,50,False,True,,0.1608583421247559,0.16086486486486487
DummyClassifier(),PCA,50,True,False,,0.1608583421247559,0.16086486486486487
DummyClassifier(),PCA,50,True,True,,0.1608583421247559,0.16086486486486487
DummyClassifier(),PCA,100,False,False,,0.1608583421247559,0.16086486486486487
DummyClassifier(),PCA,100,False,True,,0.1608583421247559,0.16086486486486487
DummyClassifier(),PCA,100,True,False,,0.1608583421247559,0.16086486486486487
DummyClassifier(),PCA,100,True,True,,0.1608583421247559,0.16086486486486487
DummyClassifier(),PCA,250,False,False,,0.1608583421247559,0.16086486486486487
DummyClassifier(),PCA,250,False,True,,0.1608583421247559,0.16086486486486487
DummyClassifier(),PCA,250,True,False,,0.1608583421247559,0.16086486486486487
DummyClassifier(),PCA,250,True,True,,0.1608583421247559,0.16086486486486487
DummyClassifier(),PCA,,False,False,,0.1608583421247559,0.16086486486486487
DummyClassifier(),PCA,,False,True,,0.1608583421247559,0.16086486486486487
DummyClassifier(),PCA,,True,False,,0.1608583421247559,0.16086486486486487
DummyClassifier(),PCA,,True,True,,0.1608583421247559,0.16086486486486487
DummyClassifier(),TruncatedSVD,10,False,False,,0.1608583421247559,0.16086486486486487
DummyClassifier(),TruncatedSVD,10,False,True,,0.1608583421247559,0.16086486486486487
DummyClassifier(),TruncatedSVD,10,True,False,,0.1608583421247559,0.16086486486486487
DummyClassifier(),TruncatedSVD,10,True,True,,0.1608583421247559,0.16086486486486487
DummyClassifier(),TruncatedSVD,50,False,False,,0.1608583421247559,0.16086486486486487
DummyClassifier(),TruncatedSVD,50,False,True,,0.1608583421247559,0.16086486486486487
DummyClassifier(),TruncatedSVD,50,True,False,,0.1608583421247559,0.16086486486486487
DummyClassifier(),TruncatedSVD,50,True,True,,0.1608583421247559,0.16086486486486487
DummyClassifier(),TruncatedSVD,100,False,False,,0.1608583421247559,0.16086486486486487
DummyClassifier(),TruncatedSVD,100,False,True,,0.1608583421247559,0.16086486486486487
DummyClassifier(),TruncatedSVD,100,True,False,,0.1608583421247559,0.16086486486486487
DummyClassifier(),TruncatedSVD,100,True,True,,0.1608583421247559,0.16086486486486487
DummyClassifier(),TruncatedSVD,250,False,False,,0.1608583421247559,0.16086486486486487
DummyClassifier(),TruncatedSVD,250,False,True,,0.1608583421247559,0.16086486486486487
DummyClassifier(),TruncatedSVD,250,True,False,,0.1608583421247559,0.16086486486486487
DummyClassifier(),TruncatedSVD,250,True,True,,0.1608583421247559,0.16086486486486487
DummyClassifier(),Isomap,10,False,False,,0.1608583421247559,0.16086486486486487
DummyClassifier(),Isomap,10,False,True,,0.1608583421247559,0.16086486486486487
DummyClassifier(),Isomap,10,True,False,,0.1608583421247559,0.16086486486486487
DummyClassifier(),Isomap,10,True,True,,0.1608583421247559,0.16086486486486487
DummyClassifier(),Isomap,50,False,False,,0.1608583421247559,0.16086486486486487
DummyClassifier(),Isomap,50,False,True,,0.1608583421247559,0.16086486486486487
DummyClassifier(),Isomap,50,True,False,,0.1608583421247559,0.16086486486486487
DummyClassifier(),Isomap,50,True,True,,0.1608583421247559,0.16086486486486487
DummyClassifier(),Isomap,100,False,False,,0.1608583421247559,0.16086486486486487
DummyClassifier(),Isomap,100,False,True,,0.1608583421247559,0.16086486486486487
DummyClassifier(),Isomap,100,True,False,,0.1608583421247559,0.16086486486486487
DummyClassifier(),Isomap,100,True,True,,0.1608583421247559,0.16086486486486487
DummyClassifier(),LocallyLinearEmbedding,10,False,False,,0.1608583421247559,0.16086486486486487
DummyClassifier(),LocallyLinearEmbedding,10,False,True,,0.1608583421247559,0.16086486486486487
DummyClassifier(),LocallyLinearEmbedding,10,True,False,,0.1608583421247559,0.16086486486486487
DummyClassifier(),LocallyLinearEmbedding,10,True,True,,0.1608583421247559,0.16086486486486487
DummyClassifier(),LocallyLinearEmbedding,50,False,False,,0.1608583421247559,0.16086486486486487
DummyClassifier(),LocallyLinearEmbedding,50,False,True,,0.1608583421247559,0.16086486486486487
DummyClassifier(),LocallyLinearEmbedding,50,True,False,,0.1608583421247559,0.16086486486486487
DummyClassifier(),LocallyLinearEmbedding,50,True,True,,0.1608583421247559,0.16086486486486487
DummyClassifier(),LocallyLinearEmbedding,100,False,False,,0.1608583421247559,0.16086486486486487
DummyClassifier(),LocallyLinearEmbedding,100,False,True,,0.1608583421247559,0.16086486486486487
DummyClassifier(),LocallyLinearEmbedding,100,True,False,,0.1608583421247559,0.16086486486486487
DummyClassifier(),LocallyLinearEmbedding,100,True,True,,0.1608583421247559,0.16086486486486487
DummyClassifier(),LocallyLinearEmbedding,250,False,False,,0.1608583421247559,0.16086486486486487
DummyClassifier(),LocallyLinearEmbedding,250,False,True,,0.1608583421247559,0.16086486486486487
